SID,DID,TID,VILL_CODE,C_CODE01,NAME,UID,CENSUS_COD,STATE,DISTRICT,SUB_DIST,TOWN_VILL,WARD,EB,LEVEL,NAME_1,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,ST_CODE,DIST_CODE,THSIL_CODE,BLOCK_CODE,V_CT_CODE,VILL_NAME,AREA,T_HH,T_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU
"28","18","0012","02171400","2818001202171400",Inagallu,"570431",2.82e+15,"28","18","12","2171400","0","0",VILLAGE,Inagallu,Rural,"870","3007","1480","1527","284","152","132","933","452","481","312","152","160","1925","1082","843","1082","398","684","1963","973","990","1956","972","984","748","396","352","1128","509","619","14","8","6","66","59","7","7","1","6","0","0","0","6","0","6","0","0","0","1","1","0","1044","507","537","28","18","12","12","2171400",INAGALLU,"1569","870","3007","1480","1527","933","452","481","312","152","160","1","6","0","1","0","1","0","0","3","0","0","24","0","2","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","2","3","2","0","2","0","3","1","1","0","1","0","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"18","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,1433,0,136
"28","18","0012","02171300","2818001202171300",Edubadu,"570437",2.82e+15,"28","18","12","2171300","0","0",VILLAGE,Edubadu,Rural,"331","1398","697","701","181","98","83","721","365","356","10","4","6","901","505","396","497","192","305","868","456","412","698","365","333","110","59","51","532","256","276","0","0","0","56","50","6","170","91","79","0","0","0","167","89","78","1","0","1","2","2","0","530","241","289","28","18","12","12","2171300",EDUBADU,"446","331","1398","697","701","721","365","356","10","4","6","1","2","0","0","1","0","0","0","3","0","0","6","0","2","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","1","1","1","0","2","3","2","3","2","0","1","0","3","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"13","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,432,0,14
"28","18","0011","02170400","2818001102170400",Ananthavaram,"570456",2.82e+15,"28","18","11","2170400","0","0",VILLAGE,Ananthavaram,Rural,"941","3620","1762","1858","376","180","196","738","360","378","56","26","30","2004","1204","800","1616","558","1058","1984","1131","853","1854","1126","728","726","507","219","884","406","478","1","1","0","243","212","31","130","5","125","4","1","3","124","3","121","0","0","0","2","1","1","1636","631","1005","28","18","11","11","2170400",ANANTHAVARAM,"1316","941","3620","1762","1858","738","360","378","56","26","30","1","5","0","1","0","1","0","0","3","0","0","28","0","1","0","2","0","0","0","0","1","0","0","0","3","0","0","0","0","2","1","0","0","0","2","0","0","0","1","0","1","1","1","1","1","2","2","2","2","2",,"0",,"1","1","0","0","0","0","3","1","1","0","2","3","2","3","2","0","2","0","2","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"8","1","0","0","0","1","1",N,,"1","220000","190000",,,,0,0,"0",0,0,"0",0,0,0,"0","0","46",45.53,1152.3,0,118.16
"28","18","0011","02170700","2818001102170700",Vinjanampadu,"570479",2.82e+15,"28","18","11","2170700","0","0",VILLAGE,Vinjanampadu,Rural,"338","1334","649","685","126","65","61","604","300","304","30","16","14","865","471","394","469","178","291","852","439","413","782","413","369","210","128","82","523","243","280","7","5","2","42","37","5","70","26","44","37","11","26","26","10","16","2","0","2","5","5","0","482","210","272","28","18","11","11","2170700",VINJANAMPADU,"357","338","1334","649","685","604","300","304","30","16","14","1","1","0","1","0","0","0","0","3","0","0","25","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","1","0","0","0","1","0","1","2","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","3","1","1","0","2","3","2","3","2","0","1","0","1","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"5","1","0","0","0","1","1",N,,"1","20000","20000",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,318.47,0,38.53
"28","18","0012","02171200","2818001202171200",Garnepudi,"570482",2.82e+15,"28","18","12","2171200","0","0",VILLAGE,Garnepudi,Rural,"831","3189","1597","1592","305","162","143","952","485","467","93","54","39","2068","1200","868","1121","397","724","1855","994","861","1794","979","815","557","340","217","1047","489","558","11","6","5","179","144","35","61","15","46","17","2","15","37","7","30","2","1","1","5","5","0","1334","603","731","28","18","12","12","2171200",GARNEPUDI,"1760","831","3189","1597","1592","952","485","467","93","54","39","1","4","0","1","0","1","0","0","3","0","0","21","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","3","1","0","0","0","0","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","2","3","1","1","0","0","3","1","1","0","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"12","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,1624,8.36,127.6
"28","18","0012","02171500","2818001202171500",Adusumalle,"570500",2.82e+15,"28","18","12","2171500","0","0",VILLAGE,Adusumalle,Rural,"557","2065","1006","1059","188","91","97","560","278","282","170","80","90","1343","750","593","722","256","466","1280","640","640","1278","638","640","653","348","305","474","193","281","87","45","42","64","52","12","2","2","0","0","0","0","0","0","0","0","0","0","2","2","0","785","366","419","28","18","12","12","2171500",ADUSUMALLE,"962","557","2065","1006","1059","560","278","282","170","80","90","1","3","0","1","0","1","0","0","2","0","0","19","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","0","0","0","1","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","4","0","1","1","0","2","3","2","3","2","0","2","0","2","1","1","0","1","0","0","3","2","0","2","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"26","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,795,0,167
"28","18","0012","02172000","2818001202172000",Devara Palle,"570501",2.82e+15,"28","18","12","2172000","0","0",VILLAGE,Devara Palle,Rural,"583","2065","1021","1044","200","100","100","779","387","392","18","8","10","1250","714","536","815","307","508","1308","665","643","1230","652","578","598","332","266","570","267","303","3","3","0","59","50","9","78","13","65","49","9","40","20","3","17","5","1","4","4","0","4","757","356","401","28","18","12","12","2172000",DEVARA PALLE,"820","583","2065","1021","1044","779","387","392","18","8","10","1","2","0","0","1","0","0","0","1","0","0","11","0","2","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","2","0","1","1","0","2","3","2","3","2","0","1","0","1","2","0","1","0","3","0","3","2","0","1","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"18","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,739,0,81
"28","18","0012","02171600","2818001202171600",Gollapudi,"570503",2.82e+15,"28","18","12","2171600","0","0",VILLAGE,Gollapudi,Rural,"297","1149","580","569","133","66","67","560","285","275","9","5","4","756","431","325","393","149","244","728","374","354","718","371","347","378","206","172","309","141","168","0","0","0","31","24","7","10","3","7","0","0","0","10","3","7","0","0","0","0","0","0","421","206","215","28","18","12","12","2171600",GOLLAPUDI,"406","297","1149","580","569","560","285","275","9","5","4","1","2","0","0","2","0","0","0","3","0","0","14","0","2","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","1","2","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","2","3","2","0","3","0","3","2","0","2","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"31","1","0","0","0","1","1",N,,"2","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","390",390,3,0,13
"28","18","0011","02170600","2818001102170600",Yeddanapudi,"570506",2.82e+15,"28","18","11","2170600","0","0",VILLAGE,Yeddanapudi,Rural,"1050","3924","1919","2005","375","171","204","979","497","482","67","34","33","2446","1371","1075","1478","548","930","2134","1187","947","1940","1101","839","555","350","205","964","405","559","22","14","8","399","332","67","194","86","108","28","14","14","149","58","91","1","1","0","16","13","3","1790","732","1058","28","18","11","11","2170600",YEDDANAPUDI,"1651","1050","3924","1919","2005","979","497","482","67","34","33","1","5","0","1","0","1","1","0","3","0","0","32","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","1","0","1","0","0","0","2","0","0","0","1","0","1","1","1","1","1","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","2","3","1","1","0","1","0","1","1","0","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"15","1","0","0","0","1","2",,,"1","260000","250000",,,,0,0,"0",0,0,"0",0,0,0,"0","0","194",193.96,1326.82,0,130.22
"28","18","0011","02170800","2818001102170800",Poluru,"570509",2.82e+15,"28","18","11","2170800","0","0",VILLAGE,Poluru,Rural,"1149","4285","2144","2141","412","211","201","881","456","425","78","42","36","2540","1492","1048","1745","652","1093","2480","1420","1060","2150","1292","858","975","646","329","977","465","512","10","7","3","188","174","14","330","128","202","8","2","6","322","126","196","0","0","0","0","0","0","1805","724","1081","28","18","11","11","2170800",POLURU,"1806","1149","4285","2144","2141","881","456","425","78","42","36","1","7","0","2","0","1","0","0","3","0","0","47","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","2","1","0","0","0","1","0","0","1","1","0","1","1","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","3","1","1","0","2","3","2","3","2","0","2","0","2","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",CHILAKALURIPET,"20","1","0","0","0","1","2",,,"1","119243","115000",,,,0,0,"0",0,0,"0",0,0,0,"0","0","91",91.09,1487.85,0,226.72
