SID,DID,TID,VILL_CODE,C_CODE01,NAME,UID,CENSUS_COD,STATE,DISTRICT,SUB_DIST,TOWN_VILL,WARD,EB,LEVEL,NAME_1,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,ST_CODE,DIST_CODE,THSIL_CODE,BLOCK_CODE,V_CT_CODE,VILL_NAME,AREA,T_HH,T_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU
"28","18","0027","02201300","2818002702201300",Wada,"570767",2.82e+15,"28","18","27","2201300","0","0",,WADA,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","18","27","27","2201300",WADA,"1260","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,"0","0","0",,,,0,1072,"0",0,0,"0",0,0,0,"0","0","0",1072,0,0,188
"28","18","0027","02201500","2818002702201500",Gavinivari Palem,"570930",2.82e+15,"28","18","27","2201500","0","0",VILLAGE,Gavinivari Palem,Rural,"2813","10987","5583","5404","1521","759","762","1049","523","526","23","9","14","4552","2909","1643","6435","2674","3761","6675","3516","3159","4806","3210","1596","2271","1767","504","2057","1112","945","7","5","2","471","326","145","1869","306","1563","147","33","114","1662","244","1418","3","2","1","57","27","30","4312","2067","2245","28","18","27","27","2201500",GAVINIVARI PALEM,"2139","2813","10987","5583","5404","1049","523","526","23","9","14","1","12","0","1","0","0","0","0","3","0","0","99","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","3","2","0","0","0","0","0","0","1","1","0","2","1","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","1","2","3","1","1","0","0","3","2","0","2","0","2","0","3","2","0","1","0","3","0","3","1","2","0","0","0","0",CHIRALA,"10","1","0","0","0","1","1",N,M,"1","300931","352798",,,,0,214,"0",0,0,"0",0,0,0,"0","0","737",951,393,85.54,709.46
"28","18","0027","02201400","2818002702201400",Ipuru Palem (Rural),"570942",2.82e+15,"28","18","27","2201400","0","0",VILLAGE,Ipuru Palem (Rural),Rural,"6500","25543","12998","12545","3722","1942","1780","3701","1899","1802","1824","899","925","11980","7254","4726","13563","5744","7819","13340","7587","5753","9140","6564","2576","1168","1068","100","2283","1465","818","2645","1437","1208","3044","2594","450","4200","1023","3177","92","30","62","3551","825","2726","183","25","158","374","143","231","12203","5411","6792","28","18","27","27","2201400",IPURU PALEM (RURAL),"3142","6500","25543","12998","12545","3701","1899","1802","1824","899","925","1","30","0","2","0","2","1","1","0","0","0","99","0","1","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","3","6","0","0","0","1","4","0","0","1","0","1","1","2","1","1","2","2","2","2","2",,"0",,"1","1","0","0","1","1","0","1","1","0","1","0","2","3","1","1","0","0","1","1","0","1","3","0","0","3","2","0","1","0","3","0","3","1","2","2","2","2","2",CHIRALA,"4","1","0","0","0","1","1",N,M,"1","1602000","1525000",,,,0,214,"0",0,0,"0",0,0,0,"0","0","737",951,501,95.36,344.84
"28","18","0027","41802000","2818002741802000",Chirala (m+og) (part),"570984",2.82e+15,"28","18","27","41802000","0","0",TOWN,Chirala (M+OG) (Part),Urban,"29675","126367","63173","63194","13748","7040","6708","17205","8556","8649","6714","3388","3326","79494","44588","34906","46873","18585","28288","50442","35460","14982","44386","32989","11397","692","517","175","6055","3789","2266","10927","6308","4619","26712","22375","4337","6056","2471","3585","47","32","15","3029","1075","1954","983","162","821","1997","1202","795","75925","27713","48212","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,"0","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,0,0,0
"28","18","0028","02201800","2818002802201800",Kotha Peta (Rural),"571077",2.82e+15,"28","18","28","2201800","0","0",VILLAGE,Kotha Peta (Rural),Rural,"3488","14194","7165","7029","1795","955","840","1518","743","775","717","373","344","8476","4785","3691","5718","2380","3338","6542","4149","2393","4835","3591","1244","563","519","44","962","587","375","748","398","350","2562","2087","475","1707","558","1149","16","9","7","1400","429","971","38","6","32","253","114","139","7652","3016","4636","28","18","28","28","2201800",KOTHA PETA (RURAL),"3031","3488","14194","7165","7029","1518","743","775","717","373","344","1","12","0","3","0","1","1","1","0","0","0","85","0","1","0","1","0","0","0","0","0","0","1","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","2","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","1","1","1","0","2","1","2","3","2","0","1","0","1","1","0","1","1","0","0","3","2","0","1","0","3","0","3","1","2","2","2","2","2",CHIRALA,"3","1","0","0","0","1","1",N,M,"1","1880146","1661599",,,,0,313.63,"0",0,0,"0",0,0,0,"0","0","0",313.63,2044.06,433.42,239.89
"28","18","0028","41803000","2818002841803000",Vetapalem,"571124",2.82e+15,"28","18","28","41803000","0","0",TOWN,Vetapalem (CT),Urban,"9235","37052","18319","18733","4062","2040","2022","3540","1815","1725","2954","1512","1442","21452","12273","9179","15600","6046","9554","18936","10786","8150","16532","9875","6657","367","288","79","2273","1269","1004","7838","3910","3928","6054","4408","1646","2404","911","1493","17","9","8","824","321","503","606","74","532","957","507","450","18116","7533","10583","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,"0","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,0,0,0
"28","18","0028","41802000","2818002841802000",Chirala (m+og) (part),"571154",2.82e+15,"28","18","28","41802000","0","0",TOWN,Chirala (M+OG) (Part),Urban,"686","2875","1462","1413","305","171","134","371","176","195","264","137","127","2091","1159","932","784","303","481","961","690","271","724","560","164","23","19","4","106","58","48","42","26","16","553","457","96","237","130","107","2","2","0","107","57","50","44","31","13","84","40","44","1914","772","1142","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,"0","0","0",,,,0,0,"0",0,0,"0",0,0,0,"0","0","0",0,0,0,0
"28","18","0028","02201900","2818002802201900",Nayani Palli (Rural),"571190",2.82e+15,"28","18","28","2201900","0","0",VILLAGE,Nayani Palli (Rural),Rural,"1136","4492","2265","2227","669","367","302","76","40","36","319","160","159","1663","1035","628","2829","1230","1599","2493","1330","1163","2058","1208","850","55","50","5","488","263","225","18","7","11","1497","888","609","435","122","313","6","5","1","402","104","298","2","0","2","25","13","12","1999","935","1064","28","18","28","28","2201900",NAYANI PALLI (RURAL),"2188","1136","4492","2265","2227","76","40","36","319","160","159","1","8","0","0","2","0","0","1","0","0","0","37","0","1","0","2","0","0","0","0","1","0","0","0","3","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","2","1","2","2","2","2","2","2","2","2",,"0",,"2","0","2","0","0","0","2","1","1","0","2","2","2","3","2","0","2","0","2","1","0","2","2","0","0","3","1","1","0","0","2","0","2","1","2","2","2","2","2",CHIRALA,"10","1","0","0","0","1","1",N,M,"1","112486","108400",,,,31,0,"0",0,0,"0",0,0,0,"0","0","166",165.92,942.92,420.87,627.26
"28","18","0028","02201600","2818002802201600",Pandilla Palle,"571210",2.82e+15,"28","18","28","2201600","0","0",VILLAGE,Pandilla Palle,Rural,"1847","7111","3535","3576","726","359","367","195","100","95","242","125","117","3931","2313","1618","3180","1222","1958","3904","2181","1723","3373","2064","1309","292","254","38","543","429","114","1919","912","1007","619","469","150","531","117","414","4","2","2","246","55","191","234","39","195","47","21","26","3207","1354","1853","28","18","28","28","2201600",PANDILLA PALLE,"873","1847","7111","3535","3576","195","100","95","242","125","117","1","2","0","1","0","1","0","0","1","0","0","33","0","1","0","3","0","0","0","1","0","0","0","0","3","0","0","0","0","1","1","0","0","2","0","0","0","0","1","0","2","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","1","1","1","0","1","0","2","3","2","0","1","0","1","1","1","0","1","0","1","0","2","0","1","0","1","0","1","1","2","2","2","2","2",CHIRALA,"13","1","0","0","0","1","1",N,M,"1","1075486","1075486",,,,61,263,"0",0,0,"0",0,0,0,"0","0","0",263,422.35,103.6,22.99
"28","18","0028","02201700","2818002802201700",Pullari Palem,"571217",2.82e+15,"28","18","28","2201700","0","0",VILLAGE,Pullari Palem,Rural,"582","2266","1134","1132","387","190","197","50","26","24","217","118","99","901","541","360","1365","593","772","1102","678","424","873","572","301","67","67","0","430","233","197","1","1","0","375","271","104","229","106","123","0","0","0","218","101","117","0","0","0","11","5","6","1164","456","708","28","18","28","28","2201700",PULLARI PALEM,"1348","582","2266","1134","1132","50","26","24","217","118","99","1","6","0","0","2","0","0","0","2","0","0","23","0","2","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","2","1","2","2","2","2","2","2","2","2",,"0",,"2","0","2","0","0","0","2","1","1","0","2","2","2","3","2","0","2","0","2","1","0","2","1","0","0","3","2","0","2","0","2","0","2","1","2","2","2","2","2",CHIRALA,"10","1","0","0","0","1","1",N,,"1","75433","70342",,,,99.96,288.14,"0",0,0,"0",0,0,0,"0","0","0",288.14,616.16,167.28,176.06
