SID,DID,TID,VILL_CODE,C_CODE01,NAME,UID,CENSUS_COD,STATE,DISTRICT,SUB_DIST,TOWN_VILL,WARD,EB,LEVEL,NAME_1,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,ST_CODE,DIST_CODE,THSIL_CODE,BLOCK_CODE,V_CT_CODE,VILL_NAME,AREA,T_HH,T_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU
28,18,8,2166900,2.818E+15,Santhamaguluru,570127,2.82E+15,28,18,8,2166900,0,0,VILLAGE,Santhamaguluru,Rural,1943,7916,4077,3839,1002,509,493,1894,965,929,259,135,124,3726,2368,1358,4190,1709,2481,4537,2419,2118,4133,2260,1873,1141,868,273,2327,886,1441,51,26,25,614,480,134,404,159,245,63,37,26,316,110,206,6,0,6,19,12,7,3379,1658,1721,28,18,8,8,2166900,SANTHAMAGULURU,2691,1943,7916,4077,3839,1894,965,929,259,135,124,1,9,0,1,0,1,1,0,3,0,0,82,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,1,1,1,0,1,1,0,1,0,2,3,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,18,1,0,0,0,1,1,N,M,1,179810,84891,,,,0,2061,0,0,159,0,0,0,0,0,0,0,2220,298,37,136
28,18,8,2166600,2.818E+15,Vellala Cheruvu,570158,2.82E+15,28,18,8,2166600,0,0,VILLAGE,Vellala Cheruvu,Rural,1288,5356,2727,2629,602,311,291,893,485,408,251,130,121,2580,1592,988,2776,1135,1641,3237,1652,1585,2977,1582,1395,1484,829,655,895,416,479,131,67,64,467,270,197,260,70,190,77,14,63,136,41,95,12,3,9,35,12,23,2119,1075,1044,28,18,8,8,2166600,VELLALA CHERUVU,1902,1288,5356,2727,2629,893,485,408,251,130,121,1,5,0,1,0,1,0,0,3,0,0,98,0,1,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,1,0,2,3,1,1,0,0,2,1,1,0,0,3,0,3,2,0,2,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,30,1,0,0,0,1,1,N,M,1,63391,25590,,,,0,0,0,0,0,0,0,1109.34,0,0,0,0,1109.34,510.66,81,201
28,18,8,2166800,2.818E+15,Kamepalle,570171,2.82E+15,28,18,8,2166800,0,0,VILLAGE,Kamepalle,Rural,577,2434,1229,1205,289,152,137,520,265,255,93,55,38,1058,675,383,1376,554,822,1532,781,751,1438,741,697,559,395,164,727,239,488,10,6,4,142,101,41,94,40,54,4,4,0,73,28,45,2,0,2,15,8,7,902,448,454,28,18,8,8,2166800,KAMEPALLE,1274,577,2434,1229,1205,520,265,255,93,55,38,1,2,0,0,2,0,0,0,3,0,0,32,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,2,2,2,3,2,0,2,0,2,2,0,2,0,3,0,3,2,0,2,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,23,1,0,0,0,1,1,N,M,1,71439,62435,,,,0,0,0,0,0,0,0,786.6,0,0,0,0,786.6,305.35,4,178
28,18,8,2167000,2.818E+15,Tangedu Malli,570185,2.82E+15,28,18,8,2167000,0,0,VILLAGE,Tangedu Malli,Rural,1457,6036,3023,3013,861,432,429,1237,597,640,184,97,87,2502,1552,950,3534,1471,2063,3481,1920,1561,3427,1906,1521,1559,942,617,1486,688,798,126,112,14,256,164,92,54,14,40,3,3,0,37,3,34,1,1,0,13,7,6,2555,1103,1452,28,18,8,8,2167000,TANGEDU MALLI,2115,1457,6036,3023,3013,1237,597,640,184,97,87,1,4,0,2,0,0,0,0,3,0,0,32,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,1,0,2,3,2,0,3,0,3,2,0,3,0,3,0,3,2,0,3,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,15,1,0,0,0,1,1,N,M,1,86816,60991,,,,0,798,0,0,188,0,0,0,0,0,0,0,986,1003,31,95
28,18,8,2167100,2.818E+15,Gurijepalle,570223,2.82E+15,28,18,8,2167100,0,0,VILLAGE,Gurijepalle,Rural,297,1241,610,631,175,76,99,725,358,367,62,33,29,478,303,175,763,307,456,775,397,378,698,379,319,150,94,56,407,190,217,19,14,5,122,81,41,77,18,59,27,9,18,44,6,38,3,1,2,3,2,1,466,213,253,28,18,8,8,2167100,GURIJEPALLE,619,297,1241,610,631,725,358,367,62,33,29,1,1,0,0,3,0,0,0,3,0,0,12,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,2,3,2,3,2,0,3,0,3,1,1,0,0,3,0,3,2,0,3,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,14,1,0,0,0,1,1,N,M,1,33457,32467,,,,0,200,0,0,20,0,0,0,0,0,0,0,220,367,25,7
28,18,8,2167200,2.818E+15,Kopparam,570271,2.82E+15,28,18,8,2167200,0,0,VILLAGE,Kopparam,Rural,1871,7919,4021,3898,1096,546,550,1298,642,656,925,485,440,3309,2064,1245,4610,1957,2653,4900,2502,2398,4738,2471,2267,1659,969,690,2679,1229,1450,34,19,15,366,254,112,162,31,131,31,5,26,64,11,53,18,3,15,49,12,37,3019,1519,1500,28,18,8,8,2167200,KOPPARAM,2896,1871,7919,4021,3898,1298,642,656,925,485,440,1,8,0,1,0,0,0,0,3,0,0,99,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,2,2,2,3,2,0,2,0,2,1,1,0,6,0,0,3,2,0,2,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,26,1,0,0,0,1,1,N,M,1,36203,31832,,,,28,1249,0,0,300.4,0,0,0,0,0,0,0,1549.4,1128.6,18,172
28,18,8,2167300,2.818E+15,Elchur,570278,2.82E+15,28,18,8,2167300,0,0,VILLAGE,Elchur,Rural,1955,8387,4246,4141,1192,586,606,1306,669,637,164,80,84,3086,1961,1125,5301,2285,3016,4780,2563,2217,3781,2234,1547,1335,838,497,1598,807,791,18,9,9,830,580,250,999,329,670,73,20,53,886,289,597,2,1,1,38,19,19,3607,1683,1924,28,18,8,8,2167300,ELCHUR,2789,1955,8387,4246,4141,1306,669,637,164,80,84,1,4,0,1,0,1,0,0,3,0,0,99,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,2,1,2,2,1,2,1,2,2,2,,0,,1,1,0,0,0,1,0,1,1,0,2,2,2,3,2,0,2,0,2,1,1,0,1,0,0,3,1,1,0,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,22,1,0,0,0,1,1,N,M,1,161401,160881,,,,0,1200,0,0,237.48,0,0,0,0,0,0,0,1437.48,1114,24,213.52
28,18,8,2166700,2.818E+15,Gopapuram,570290,2.82E+15,28,18,8,2166700,0,0,,GOPAPURAM,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,8,8,2166700,GOPAPURAM,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,,,,0,295.58,0,0,17,0,0,0,0,0,0,0,312.58,58.09,19.3,22
28,18,9,2167800,2.818E+15,Uppumaguluru,570320,2.82E+15,28,18,9,2167800,0,0,VILLAGE,Uppumaguluru,Rural,1150,4431,2276,2155,569,301,268,1220,633,587,414,218,196,1780,1108,672,2651,1168,1483,2691,1426,1265,2472,1387,1085,1003,607,396,1252,599,653,10,7,3,207,174,33,219,39,180,75,9,66,97,13,84,4,1,3,43,16,27,1740,850,890,28,18,9,9,2167800,UPPUMAGULURU,2438,1150,4431,2276,2155,1220,633,587,414,218,196,1,4,0,1,0,1,0,0,3,0,0,53,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,2,1,2,2,1,2,2,2,2,2,,0,,1,1,0,0,0,3,0,1,1,0,2,3,2,3,2,0,3,0,3,2,0,3,0,3,0,3,2,0,3,0,3,0,3,1,2,2,2,2,2,CHILAKALURIPET,25,1,0,0,0,1,1,N,M,1,174360,104750,,,,0,680,0,0,0,0,0,165,0,0,0,0,845,1447,120,26
28,18,9,2167700,2.818E+15,Koppera Palem,570324,2.82E+15,28,18,9,2167700,0,0,VILLAGE,Koppera Palem,Rural,543,2306,1151,1155,339,161,178,710,364,346,91,45,46,995,616,379,1311,535,776,1283,699,584,1127,690,437,355,239,116,634,358,276,0,0,0,138,93,45,156,9,147,76,4,72,68,4,64,3,0,3,9,1,8,1023,452,571,28,18,9,9,2167700,KOPPERA PALEM,796,543,2306,1151,1155,710,364,346,91,45,46,1,2,0,0,2,0,0,0,3,0,0,29,0,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,1,1,2,1,1,1,2,2,2,,0,,1,1,0,0,0,2,0,1,1,0,2,3,2,3,2,0,3,0,3,2,0,2,0,3,0,3,2,0,3,0,3,0,3,1,2,2,2,2,2,NARASARAOPET,27,1,0,0,0,1,1,N,M,1,106109,101606,,,,0,547.63,0,0,16.2,0,0,0,0,0,0,0,563.83,65,35,132.15
