SID,DID,TID,VILL_CODE,C_CODE01,NAME,UID,CENSUS_COD,STATE,DISTRICT,SUB_DIST,TOWN_VILL,WARD,EB,LEVEL,NAME_1,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,ST_CODE,DIST_CODE,THSIL_CODE,BLOCK_CODE,V_CT_CODE,VILL_NAME,AREA,T_HH,T_P,T_M,T_F,SC_P,SC_M,SC_F,ST_P,ST_M,ST_F,EDU_FAC,P_SCH,RANG_P_SCH,M_SCH,RANG_M_SCH,S_SCH,S_S_SCH,COLLEGE,RANG_COLL,IND_SCH,TR_SCH,ADLT_LT_CT,OTH_SCH,MEDI_FAC,ALL_HOSP,RANG_ALL,AYU_HOSP,UN_HOSP,HOM_HOSP,ALL_DISP,AYU_DISP,UN_DISP,HOM_DISP,MCW_CNTR,RANG_MCW,M_HOME,CWC,H_CNTR,PH_CNTR,RANG_PHC,PHS_CNT,FWC_CNTR,TB_CLN,N_HOME,RMP,SMP,CHW,OTH_CNTR,DRNK_WAT_F,RANG_WAT_F,TAP,WELL,TANK,TUBEWELL,HANDPUMP,RIVER,CANAL,LAKE,SPRING,OTHER,SOU_SUMM,RANG_SS,SS_CODE,P_T_FAC,POST_OFF,RANG_PO,TELE_OFF,POST_TELE,PHONE,RANG_PHONE,COMM_FAC,BS_FAC,RANG_BS,RS_FAC,RANG_RS,NW_FAC,RANG_NW,BANK_FAC,COMM_BANK,RANG_COMM,COOP_BANK,RANG_COOP,CRSOC_FAC,AC_SOC,RANG_ACS,NAC_SOC,RANG_NAC,OTHER_SOC,RANG_OTH,RC_FAC,C_V_HALL,RANG_CV,SP_CL_FAC,RANG_SPCL,ST_AU_FAC,RANG_STAU,APP_PR,APP_MR,APP_FP,APP_NAVRIV,APP_NAVCAN,APP_NW,NEAR_TOWN,DIST_TOWN,POWER_SUPL,POWER_DOM,POWER_AGR,POWER_OTH,POWER_ALL,PAP_MAG,NEWS_PAP,MAGAZINE,A_INCEXP,TOT_INC,TOT_EXP,MAN_COMM1,MAN_COMM2,MAN_COMM3,LAND_FORES,CANAL_GOVT,CANAL_PVT,WELL_WO_EL,WELL_W_EL,TW_WO_EL,TW_W_EL,TANK_IRR,RIVER_IRR,LAKE_IRR,W_FALL,OTH_IRR,TOT_IRR,UN_IRR,CULT_WASTE,AREA_NA_CU
"28","17","0052","02144400","2817005202144400",Komali,"570460",2.82e+15,"28","17","52","2144400","0","0",VILLAGE,Komali,Rural,"298","955","477","478","128","71","57","392","194","198","38","17","21","687","357","330","268","120","148","430","268","162","181","155","26","88","88","0","33","18","15","3","2","1","57","47","10","249","113","136","1","0","1","244","110","134","1","1","0","3","2","1","525","209","316","28","17","52","52","2144400",KOMALI,"915","298","955","477","478","392","194","198","38","17","21","1","2","0","0","2","0","0","0","2","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","1","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","2","0","3","2","0","2","0","2","1","1","0","1","0","0","3","1","1","0","0","2","0","3","1","2","2","2","2","2",PONNUR,"8","1","0","0","0","1","1",N,M,"1","74029","84003",,,,0,409.54,"0",0,0,"0",0,0,0,"0","0","0",409.54,3.64,435,65.87
"28","17","0052","02144500","2817005202144500",Sangupalem Kodur,"570485",2.82e+15,"28","17","52","2144500","0","0",VILLAGE,Sangupalem Kodur,Rural,"785","2884","1452","1432","263","127","136","163","77","86","99","48","51","2063","1069","994","821","383","438","1471","875","596","947","649","298","307","284","23","414","245","169","3","3","0","223","117","106","524","226","298","1","1","0","384","196","188","3","0","3","136","29","107","1413","577","836","28","17","52","52","2144500",SANGUPALEM KODUR,"954","785","2884","1452","1432","163","77","86","99","48","51","1","4","0","1","0","0","0","0","2","0","0","0","0","1","0","2","0","0","0","0","0","0","0","0","2","0","0","0","0","2","2","0","0","0","2","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","2","0","1","1","0","2","2","0","3","2","0","1","0","2","1","0","1","2","0","0","3","2","0","1","0","2","0","3","1","2","2","2","2","2",PONNUR,"5","1","0","0","0","1","1",N,M,"1","431483","440331",,,,0,776.99,"0",0,0,"0",0,0,0,"0","0","0",776.99,2.43,33.99,140.45
"28","17","0052","02144600","2817005202144600",Chandole,"570497",2.82e+15,"28","17","52","2144600","0","0",VILLAGE,Chandole,Rural,"2837","11338","5640","5698","1461","715","746","2373","1134","1239","332","164","168","7143","3865","3278","4195","1775","2420","4557","3134","1423","2949","2656","293","436","422","14","1013","864","149","59","47","12","1441","1323","118","1608","478","1130","44","12","32","1298","308","990","19","2","17","247","156","91","6781","2506","4275","28","17","52","52","2144600",CHANDOLE,"1333","2837","11338","5640","5698","2373","1134","1239","332","164","168","1","12","0","2","0","1","2","0","2","0","0","4","0","1","0","2","0","0","0","0","1","0","0","0","2","0","0","0","0","2","1","0","0","0","3","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","1","0","2","0","1","1","0","2","2","0","3","1","1","0","0","2","1","0","2","2","0","1","0","1","1","0","0","2","0","3","1","2","2","2","2","2",PONNUR,"8","1","0","0","0","1","1",N,M,"1","733284","773779",,,,0,797.23,"0",76.89,4.04,"4",0,0,0,"0","0","34",916.19,23.87,96.21,296.64
"28","17","0054","02145800","2817005402145800",Etheru,"570542",2.82e+15,"28","17","54","2145800","0","0",VILLAGE,Etheru,Rural,"865","3252","1655","1597","337","173","164","1485","749","736","200","100","100","1930","1117","813","1322","538","784","1821","1052","769","702","433","269","115","99","16","471","243","228","7","3","4","109","88","21","1119","619","500","60","56","4","1003","526","477","14","4","10","42","33","9","1431","603","828","28","17","54","54","2145800",ETHERU,"680","865","3252","1655","1597","1485","749","736","200","100","100","1","7","0","0","1","0","0","0","3","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","0","0","0","0","1","0","1","1","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","1","0","3","2","0","1","0","1","1","0","3","0","3","1","0","2","0","3","0","3","0","3","1","2","2","2","2","2",BAPATLA,"15","1","0","0","0","1","2",,,"1","240863","220739",,,,0,522.04,"0",0,0,"0",0,0,0,"0","0","0",522.04,89.33,1.22,67.41
"28","17","0052","02144700","2817005202144700",Pittalavanipalem,"570544",2.82e+15,"28","17","52","2144700","0","0",VILLAGE,Pittalavanipalem,Rural,"3281","12358","6222","6136","1293","692","601","1275","654","621","523","261","262","6861","3820","3041","5497","2402","3095","6504","3638","2866","3561","2541","1020","549","470","79","2154","1366","788","58","51","7","800","654","146","2943","1097","1846","28","18","10","2755","976","1779","33","12","21","127","91","36","5854","2584","3270","28","17","52","52","2144700",PITTALAVANIPALEM,"1470","3281","12358","6222","6136","1275","654","621","523","261","262","1","14","0","4","0","2","1","0","2","0","0","4","0","1","1","0","0","0","0","1","0","0","0","1","0","0","0","0","1","0","4","0","0","0","3","0","0","0","1","0","2","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","1","2","0","1","1","0","2","3","0","3","1","1","0","0","1","1","1","0","1","0","1","0","1","1","0","0","3","0","3","1","2","2","2","2","2",PONNUR,"15","1","0","0","0","1","1",N,M,"1","14682850","111679",,,,0,1122.59,"0",11.73,0,"0",0,0,0,"0","0","0",1134.32,31.04,0,304.36
"28","17","0053","02145000","2817005302145000",Yazali,"570545",2.82e+15,"28","17","53","2145000","0","0",VILLAGE,Yazali,Rural,"2133","8255","4155","4100","875","448","427","1165","570","595","149","78","71","4249","2469","1780","4006","1686","2320","4675","2581","2094","3287","2066","1221","803","657","146","2124","1104","1020","25","20","5","335","285","50","1388","515","873","15","10","5","1343","488","855","3","1","2","27","16","11","3580","1574","2006","28","17","53","53","2145000",YAZALI,"2423","2133","8255","4155","4100","1165","570","595","149","78","71","1","10","0","1","0","1","0","0","2","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","2","2","0","0","0","0","0","0","0","1","0","1","1","2","2","1","2","2","2","2","2",,"0",,"1","1","0","0","0","6","0","1","1","0","2","3","0","3","2","0","2","0","3","1","1","0","0","3","1","0","2","0","2","0","3","0","3","1","2","2","2","2","2",BAPATLA,"14","1","0","0","0","1","1",N,M,"1","305620","326680",,,,0,1739,"0",0,0,"0",0,0,0,"0","0","69",1808,50,74,491
"28","17","0054","02145900","2817005402145900",Gudipudi,"570548",2.82e+15,"28","17","54","2145900","0","0",,PALAPARTHIPADU,,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","17","54","54","2145900",PALAPARTHIPADU,"90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,,"0","0","0",,,,0,72.83,"0",0,0,"0",0,0,0,"0","0","0",72.83,1.58,0,15.43
"28","17","0054","02145600","2817005402145600",Gopapuram,"570557",2.82e+15,"28","17","54","2145600","0","0",VILLAGE,Gopapuram,Rural,"251","963","483","480","76","35","41","596","302","294","0","0","0","577","348","229","386","135","251","574","309","265","507","283","224","47","27","20","432","234","198","3","2","1","25","20","5","67","26","41","0","0","0","67","26","41","0","0","0","0","0","0","389","174","215","28","17","54","54","2145600",GOPAPURAM,"592","251","963","483","480","596","302","294","0","0","0","1","1","0","0","1","0","0","0","3","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","3","0","0","0","0","1","0","0","0","1","0","1","2","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","3","0","3","2","0","3","0","3","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",BAPATLA,"20","1","0","0","0","1","1",N,M,"2","0","0",,,,0,522.85,"0",0,0,"0",0,0,0,"0","0","0",522.85,0,0,69.15
"28","17","0054","02145700","2817005402145700",Poondla,"570582",2.82e+15,"28","17","54","2145700","0","0",VILLAGE,Poondla,Rural,"755","3051","1539","1512","313","175","138","784","398","386","139","69","70","1795","987","808","1256","552","704","1632","922","710","1574","901","673","328","248","80","1106","539","567","13","9","4","127","105","22","58","21","37","11","6","5","39","12","27","3","0","3","5","3","2","1419","617","802","28","17","54","54","2145700",POONDLA,"1112","755","3051","1539","1512","784","398","386","139","69","70","1","2","0","1","0","1","0","0","3","0","0","0","0","1","0","3","0","0","0","0","0","0","0","0","3","0","0","0","0","1","1","0","0","0","1","0","0","0","1","0","1","1","2","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","1","0","1","1","0","2","1","0","3","2","0","1","0","3","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",BAPATLA,"12","1","0","0","0","1","1",N,M,"2","0","0",,,,0,930.7,"0",0,0,"0",0,0,0,"0","0","0",930.7,0,0,171.53
"28","17","0054","02146000","2817005402146000",Gudipudi,"570595",2.82e+15,"28","17","54","2146000","0","0",VILLAGE,Gudipudi,Rural,"529","1919","968","951","203","112","91","488","236","252","35","19","16","1058","567","491","861","401","460","1024","631","393","976","608","368","173","152","21","677","361","316","1","0","1","125","95","30","48","23","25","13","3","10","27","15","12","0","0","0","8","5","3","895","337","558","28","17","54","54","2146000",GUDIPUDI,"270","529","1919","968","951","488","236","252","35","19","16","1","2","0","0","1","0","0","0","3","0","0","0","0","2","0","1","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","1","1","2","2","2","2","2","2","2",,"0",,"1","1","0","0","0","0","3","2","0","1","0","1","0","3","2","0","1","0","1","2","0","3","0","3","0","3","2","0","3","0","3","0","3","1","2","2","2","2","2",BAPATLA,"12","1","0","0","0","1","1",N,M,"1","88964","79663",,,,0,129.05,"0",0,0,"0",0,0,0,"0","0","0",129.05,35.61,0,105.27
